Designation,Role,Topic,Challenges,Opportunities,Questions,Other Observations and Quotes
Federal employee,Director of Recreation,Relationship,"ACE mgmt sees it's public users as a different demographic than NPS or FS. Day use, high volume, low space, water based recreation",,,
Federal employee,Director of Recreation,Permit Process,Regional decision making is made by military. ACE mission is different than NPS or FS - not a public land use mission. ,"ACE projects do collaborate with other land management agencies at the local level

On the ground management similar to other land management agencies",,
Federal employee,Recreation.gov,Technology,rec.gov has a long history of various goals circling around the simplification of accessing federal lands.,"rec.gov is moving from hardcoded system to a more flexible, API driven platform that will ingest land-use and recreation data.",,
Federal employee,Recreation.gov,Technology,"NPS is advanced because their CMS is advanced, FS is working on it, Army Corps is lagging but reporting. They have various stages of maturity, and the next version of the API should be more flexible.",rec.gov goals are focused on the user and ensuring that they have a good experience.,,
Federal employee,Recreation.gov,Technology,The burden of data entry is local or regional on the parks/forests/reserves/etc.,,,
Federal employee,Recreation.gov,Technology,rec.gov is working with [...] to fill information and/or validate people.,,What does that mean and is there any data they're collecting or validating that could get shared?,
Federal employee,Recreation.gov,Permit Process,rec.gov focuses on folks using the parks for pure recreational goals. they do not have an interest in working for folks using the lands for commercial aims,,,
Federal employee,Recreation.gov,Search / Awareness,there's a lot of confusion about rec.gov and what it does with folks who want to use parks for commercial use,It would be nice if there was a single place to reference material on that subject - they currently just refer them to the agencies.,,
Federal employee,Program Manager - Special Use Permits,Search / Awareness,"Local networks exist, like filming commissions, that inform producers on where to shoot and what to permit.",Folks consult these networks and receive a variety of treatments from local decision makers in the field.,,
Federal employee,Program Manager - Special Use Permits,Prototype,Prototype concept is validated at a surface level. Contact data might be decentralized or out of date.,The prototype could have contact information associated with the locations to aid in search. Better to have folks calling and inquiring about the lands than not at all.,Is there an authoritative source(s) for contact data?,
Federal employee,Program Manager - Special Use Permits,Permit Process,It's hard to determine the line of specificity to share at a general level regarding permit processes because some local decisions need to stay there.,General steps of the permit process might be helpful. The prototype could share those broad stages with folks when they identify land of interest.,,
Federal employee,Program Manager - Special Use Permits,Search / Awareness,How can we share updates on what we're working on with the public?,Every piece of land has a management plan. We could share those or pieces of data from them.,,
Outfitter or Guide,Former Park Service ranger,Permit Process,"Per this user, the problem is not doing the paperwork, it's the overhead that differing processes between parks create",Opportunity: Pre-check for outfitters/guides that would be portable across the US,Do large tour companies outsource or subcontract trips to avoid managing the permitting process across multiple locales? Is it because they aren't as familiar with the area?,"""Doesn’t seem like there’s much coordination from the top-down. Every park has their own organic way of running. As an operator trying to work in Grand Canyon, Bryce, and Zion the conditions are different in every single park."""
Outfitter or Guide,Former Park Service ranger,Relationship,CUAs feel they get treated with more suspicion and regulations than general public,"Agencies could change how they see CUAs and take advantage of that relationship to help manage the park, understand what conditions are like on the ground, etc",,"""NPS and FS are missing on an opportunity to train outfitters to be their eyes and ears and looking out for things around the trails and they should be able to use us as assets instead of enemies.""

"
Outfitter or Guide,Former Park Service ranger,Relationship,"this (and other) guide/outfitter sees park personnel as having inconsistent/varying perspectives: some want to ""protect the land"" and others ""invite the public in""",,,"""They treat CUAs as folks who could possibly do wrong to the park. The lens they use is a little off-kilter. ""

""I totally appreciate all the people working in this business but think they need a little more sympathy for the people running businesses and consider us as part of the team."""
Outfitter or Guide,Former Park Service ranger,Inclusion & Input,"This business feels shut out of the park management planning process, and that their input isn't taken seriously
",This outfitter views their mission as same or overlapping with park,,"""They open it up to public comment, but it’s a joke because they work with the preferred alternative. They may invite 400 people, 375 folks say no, but they stay with the preferred alternative."""
Outfitter or Guide,Former Park Service ranger,Policy enforcement,Frustration: Inconsistency from the park side in the communication/application of park policy (possible more a problem with larger parks?),,,"""it gets infuriating when they don’t know their own policies. You have one park employee saying one thing and one person saying something else."""
Outfitter or Guide,Rancher,Permit Process,"Permitting is very infrequent [every 10 years], so business feels more uncertain about the process",Business is confident that they can figure it out with someone b/c they can just go to the local office,Sounds like there may be some frustration around applicants understanding potential timeline(s) and how to square that with their business. Also potentially not understanding if their particular request will trigger NEPA,"""That permit is now coming up for renewal [after 10 years] and we're preparing for that right now. From what we've heard that could be a difficult thing."""
Outfitter or Guide,Sailing trips / guiding / interpretive,Relationship,"As a direct CUA holder, this vendor felt they were held too much at arms length from the park (possibly due to excessive caution from the park around contracting fairness ideals), making it harder to negotiate use of the park",This vendor later became a subcontractor for the local Cooperating Association. The cooperative association acted as a middleman and greatly eased the working relationship between the business and the park,,"""Even though the interpretive staff knew we operated in good faith, we didn’t get the same feeling of trust from upper management or the ability to negotiate/discuss the management’s concern. They probably felt that they have to treat everyone the same so we have to be careful about contacts and not give someone an advantage""

""...the almost adversarial relationship, would be great to see the park be more interactive with permit holders and folks working in the park"""
Outfitter or Guide,Sailing trips / guiding / interpretive,Permit Awareness,"The vendor found out they needed a CUA permit b/c they advertised sailing trips through/in Nat'l Park waters, and were contacted by the NPS ",,How does the park expect users to discover the need for a permit in this particular context? (open waters),
Outfitter or Guide,Sailing trips / guiding / interpretive,Understanding business opportunities with the park,,"As a business owner, he wanted to understand what his business opportunities/options might be in a given park",How difficult and common of a challenge is this? How often do businesses want to expand what they do to additional parks?,"I guess in the last year I’ve played around with researching the difference between CUA and concession contracts, you go to the parks websites and they say “here are the CUA holders”"
Outfitter or Guide,Sailing trips / guiding / interpretive,Relationship + Permit Process,"Before getting the permit, the perceived risk of getting denied and sinking his business outweighed the reward to go through with the permit process.","This reinforces the theme from a couple interviews that parks sometimes don't necessarily see vendors as partners, but rather as possible threats",,"""one of the reasons I didn’t apply originally is because of the risk of getting turned down. Because it wasn’t straightforward what you needed, and I had to go through Biscayne to go from Miami to the Keys."""
Outfitter or Guide,Sailing trips / guiding / interpretive,Permit Process,,"The paperwork side isn't the challenge for this vendor. It's the lack of relationship and communication, which prevents him understanding what he can/cant'd do with this business, or jointly improving process, when the cooperative association didn't exist",,"""we had all those pieces of paper, so from the standpoint of filling out the paperwork and collecting the right pieces of paper, I didn’t feel like it was particularly difficult. Other businesses might feel differently, but the stuff that’s required are also things I need anyway"""
Outfitter or Guide,Sailing trips / guiding / interpretive,Reporting,"Nonstandard reporting requirements between parks
",,,"""In general they want to know revenue, revenue that applied to stuff in the park, Number of visitors, etc. But the different parks have different format and slightly different questions, so it’s not as much of a standardized thing so we have to rebuild the world for each one"""
Outfitter or Guide,This outfitter primarily plans trips and buys entry permits on behalf of customers,Relationship,,Relationship between outfitters and land management agencies seems very good.,Why is the relationship so good in this particular situation? History? Being outfitters (enablers of the public versus direct users?),"""They’re very open to having us call with questions - I have contact info of a couple different FS personnel. So I can call whenever. They host a cooperators meeting, which they hold 2 or 3 times per year, to tell us about new regulations, rules, prescribed burns, etc which affect us.""

""The vibe I got from the cooperator meetings was, we’re here to help you. We trust that you as an issuing station you’ll follow the rules. We report if portages need work back to the FS and they’ll send out a crew to fix it. So the relationship is “we’re here to help each other”"
Outfitter or Guide,Cooperating Association,Permit Process,Association provides contacts and points applicants to the right place to get permit process started,,,
Outfitter or Guide,Cooperating Association,Relationship,,"A theme from this interview is that there is strong trust built here between the association and the park management. More than just ""contacts""",,"""the only difference is the cooperating association, b/c I have an open door policy let’s say with the superintendents, it’s much easier for me to get approved than the average Joe"""
Outfitter or Guide,Cooperating Association,Enforcement,,Theme throughout this interview. The idea that it's better to be more open to working with the public via the cooperating association and have some eyes on the otherwise unmonitored park activity,,"""There are certainly more people doing things without permits that are NOT under the watchful eye of the parks/government"""
Outfitter or Guide,Cooperating Association,Relationship + Permit Process,,Cooperating Association as a middleman for preserving the parks interests but facilitating bureaucracy and relationships,,"""I didn’t help him get his CUAs, but since he is already a CUA operator, I can take advantage of that ready talent.  So I’m not creating further CUAs or putting more people on the water than they can handle."""
Outfitter or Guide,Cooperating Association,Relationship,"Challenge: At least with some Nat'l Parks, there may be some tension internally over if/how to enable more public access",,,"""Half of those people understand the importance of getting people inside the park and wanting them to explore it and support.
The other half wants to keep people out essentially."""
Outfitter or Guide,Cooperating Association,Communication + Relationship + Permit Process,"This particular park relies on communicating through their CUA or Cooperative Association channels about important constraints/temporary rules in the park, but has many users that aren't permit holders",,,I know certain birds need to be protected. But the regular person doesn’t know
Outfitter or Guide,Cooperating Association,Relationship + Permit Process,"Challenge: At least in some narrow cases where water use (which is more open and perhaps harder to monitor) is concerned, there exists an imbalance in that those who do the permitting process may be more constrained than businesses that don't",,,"""The folks who are doing it legally like [name] are prohibited from doing certain things, so they are actually end up penalized versus the people who are just doing it without license"""
